date,symbol,title,body
2021-01-27,AAPL.US,Apple reports record quarterly earnings,"Apple reported record quarterly earnings above analyst expectations, with strong iPhone demand and services revenue growth."
2021-04-28,AAPL.US,Apple raises dividend after earnings beat,"Apple beat earnings expectations and announced a dividend increase, but management noted supply constraints could pressure future growth."
2022-01-27,AAPL.US,Apple revenue beats despite supply chain issues,"Apple posted stronger than expected revenue while warning that supply chain constraints remain a risk."
2023-02-02,AAPL.US,Apple misses revenue expectations,"Apple reported revenue below expectations as iPhone sales declined and macro headwinds weighed on demand."
2024-05-02,AAPL.US,Apple announces buyback as earnings beat,"Apple beat earnings estimates and announced a large share buyback, improving investor sentiment."
2021-01-26,MSFT.US,Microsoft cloud growth drives earnings beat,"Microsoft reported earnings above expectations as Azure cloud revenue continued to grow rapidly."
2022-01-25,MSFT.US,Microsoft guidance disappoints investors,"Microsoft beat earnings estimates but issued softer guidance due to foreign exchange and PC demand weakness."
2023-04-25,MSFT.US,Microsoft shares rise on AI cloud optimism,"Microsoft earnings beat expectations as cloud demand and AI product adoption improved sentiment."
2024-01-30,MSFT.US,Microsoft reports strong cloud revenue,"Microsoft reported strong cloud revenue and raised confidence in AI-driven growth."
2021-02-24,NVDA.US,Nvidia gaming and data center revenue beat,"Nvidia reported earnings above expectations with strong gaming and data center demand."
2022-05-25,NVDA.US,Nvidia guidance weakens on gaming slowdown,"Nvidia issued weaker guidance as gaming demand slowed and inventory concerns increased."
2023-05-24,NVDA.US,Nvidia guidance surges on AI demand,"Nvidia delivered a major guidance beat as AI accelerator demand exceeded expectations."
2024-02-21,NVDA.US,Nvidia earnings beat as AI demand remains strong,"Nvidia reported earnings and revenue above expectations, with management citing sustained AI chip demand."
2021-03-17,SPY.US,Fed keeps rates low supporting equity markets,"The Federal Reserve kept rates low and signaled continued support, improving broad market sentiment."
2022-06-15,SPY.US,Fed hikes rates aggressively amid inflation,"The Federal Reserve raised rates aggressively to fight inflation, increasing recession and valuation risks."
2023-11-01,SPY.US,Fed pause boosts market sentiment,"The Federal Reserve held rates steady, supporting hopes that the tightening cycle may be near an end."
2024-09-18,SPY.US,Fed rate cut supports equities,"The Federal Reserve cut rates, improving liquidity expectations and supporting broad equity sentiment."
